file_path,actual_folder_label,model_prediction,model_confidence
dataset\Training\glioma\Tr-gl_106.jpg,glioma,meningioma,0.9949
dataset\Training\glioma\Tr-gl_1074.jpg,glioma,meningioma,0.9973
dataset\Training\glioma\Tr-gl_1356.jpg,glioma,pituitary,0.9883
dataset\Training\glioma\Tr-gl_272.jpg,glioma,meningioma,0.9923
dataset\Training\meningioma\Tr-aug-me_43.jpg,meningioma,pituitary,0.9818
dataset\Training\meningioma\Tr-aug-me_46.jpg,meningioma,pituitary,0.9968
dataset\Training\meningioma\Tr-aug-me_61.jpg,meningioma,pituitary,0.9974
dataset\Training\meningioma\Tr-aug-me_81.jpg,meningioma,pituitary,0.998
dataset\Training\meningioma\Tr-aug-me_83.jpg,meningioma,pituitary,0.9981
dataset\Training\meningioma\Tr-me_1054.jpg,meningioma,glioma,0.9876
dataset\Training\meningioma\Tr-me_1060.jpg,meningioma,glioma,0.9986
dataset\Training\meningioma\Tr-me_1064.jpg,meningioma,notumor,0.9999
dataset\Training\meningioma\Tr-me_109.jpg,meningioma,notumor,0.9995
dataset\Training\meningioma\Tr-me_1166.jpg,meningioma,notumor,0.9997
dataset\Training\meningioma\Tr-me_29.jpg,meningioma,pituitary,0.9926
dataset\Training\meningioma\Tr-me_684.jpg,meningioma,notumor,0.9971
dataset\Training\meningioma\Tr-me_715.jpg,meningioma,glioma,0.9968
dataset\Training\meningioma\Tr-me_753.jpg,meningioma,notumor,0.9997
dataset\Training\meningioma\Tr-me_920.jpg,meningioma,pituitary,0.9913
dataset\Training\meningioma\Tr-me_926.jpg,meningioma,pituitary,0.9913
dataset\Training\meningioma\Tr-me_952.jpg,meningioma,pituitary,0.9963
dataset\Training\meningioma\Tr-me_957.jpg,meningioma,notumor,0.9903
dataset\Training\meningioma\Tr-me_978.jpg,meningioma,glioma,0.9896
dataset\Training\notumor\Tr-no_616.jpg,notumor,meningioma,0.9848
dataset\Training\pituitary\Tr-pi_1025.jpg,pituitary,meningioma,0.9912
